hemLocationId,maritalStatusId,dependants,incomeRangeId,weeklyValue
4,single,2,9,978
4,single,3,9,1101
4,married,0,10,1075
4,married,1,10,1160
4,married,2,10,1229
4,married,3,10,1318
4,single,0,10,808
4,single,1,10,907
4,single,2,10,1030
4,single,3,10,1154
4,married,0,11,1139
4,married,1,11,1224
4,married,2,11,1293
4,married,3,11,1383
4,single,0,11,872
4,single,1,11,972
4,single,2,11,1096
4,single,3,11,1220
4,married,0,12,1254
4,married,1,12,1338
4,married,2,12,1407
4,married,3,12,1499
4,single,0,12,987
4,single,1,12,1088
4,single,2,12,1213
4,single,3,12,1337
4,married,0,13,1426
4,married,1,13,1510
4,married,2,13,1579
4,married,3,13,1673
4,single,0,13,1161
4,single,1,13,1262
4,single,2,13,1388
4,single,3,13,1514
4,married,0,14,1448
4,married,1,14,1532
4,married,2,14,1601
4,married,3,14,1696
4,single,0,14,1183
4,single,1,14,1284
4,single,2,14,1411
4,single,3,14,1537
5,married,0,1,554
5,married,1,1,655
5,married,2,1,723
5,married,3,1,833
5,single,0,1,267
5,single,1,1,380
5,single,2,1,499
5,single,3,1,634
5,married,0,2,554
5,married,1,2,655
5,married,2,2,723
5,married,3,2,833
5,single,0,2,282
5,single,1,2,380
5,single,2,2,499
5,single,3,2,634
5,married,0,3,570
5,married,1,3,655
5,married,2,3,723
5,married,3,3,833
5,single,0,3,299
5,single,1,3,396
5,single,2,3,515
5,single,3,3,634
5,married,0,4,595
5,married,1,4,680
5,married,2,4,749
5,married,3,4,833
5,single,0,4,324
5,single,1,4,422
5,single,2,4,541
5,single,3,4,660
5,married,0,5,636
5,married,1,5,721
5,married,2,5,789
5,married,3,5,874
5,single,0,5,365
5,single,1,5,463
5,single,2,5,582
5,single,3,5,702
5,married,0,6,696
5,married,1,6,781
5,married,2,6,850
5,married,3,6,935
5,single,0,6,426
5,single,1,6,524
5,single,2,6,644
5,single,3,6,764
5,married,0,7,785
5,married,1,7,870
5,married,2,7,938
5,married,3,7,1024
5,single,0,7,515
5,single,1,7,613
5,single,2,7,734
5,single,3,7,855
5,married,0,8,861
5,married,1,8,946
5,married,2,8,1014
5,married,3,8,1101
5,single,0,8,592
5,single,1,8,690
5,single,2,8,812
5,single,3,8,933
5,married,0,9,939
5,married,1,9,1024
5,married,2,9,1093
5,married,3,9,1181
